Calendar year,6-monthly,Cause of injury = traffic,First Nations status,Category Type,Category Value,Hospitalisations,Bed days excluding died in hospitals within 30 days
2012,Jul-Dec,Traffic,Non-Indigenous,Road user,Pedestrian,1184,8657
2012,Jul-Dec,Traffic,Non-Indigenous,Road user,"Heavy transport driver, passenger or unknown position",251,1169
2012,Jul-Dec,Traffic,Non-Indigenous,Road user,Pick-up truck or van occupant,129,630
2012,Jul-Dec,Traffic,Non-Indigenous,Road user,Bus occupant,111,491
2012,Jul-Dec,Traffic,Non-Indigenous,Road user,Other or unknown,258,1172
2013,Jan-Jun,Traffic,First Nations people,Road user,"Car driver, passenger or unknown position",354,1794
2013,Jan-Jun,Traffic,First Nations people,Road user,Motorcyclist,126,804
2013,Jan-Jun,Traffic,First Nations people,Road user,Pedal cyclist,92,210
2013,Jan-Jun,Traffic,First Nations people,Road user,Pedestrian,90,799
2013,Jan-Jun,Traffic,First Nations people,Road user,"Heavy transport driver, passenger or unknown position",n.p.,n.p.
2013,Jan-Jun,Traffic,First Nations people,Road user,Pick-up truck or van occupant,6,19
2013,Jan-Jun,Traffic,First Nations people,Road user,Bus occupant,n.p.,n.p.
2013,Jan-Jun,Traffic,First Nations people,Road user,Other or unknown,13,32
2013,Jan-Jun,Traffic,Non-Indigenous,Road user,"Car driver, passenger or unknown position",7495,29638
2013,Jan-Jun,Traffic,Non-Indigenous,Road user,Motorcyclist,3655,17235
2013,Jan-Jun,Traffic,Non-Indigenous,Road user,Pedal cyclist,3020,8615
2013,Jan-Jun,Traffic,Non-Indigenous,Road user,Pedestrian,1170,7487
2013,Jan-Jun,Traffic,Non-Indigenous,Road user,"Heavy transport driver, passenger or unknown position",n.p.,n.p.
2013,Jan-Jun,Traffic,Non-Indigenous,Road user,Pick-up truck or van occupant,113,662
2013,Jan-Jun,Traffic,Non-Indigenous,Road user,Bus occupant,n.p.,n.p.
2013,Jan-Jun,Traffic,Non-Indigenous,Road user,Other or unknown,238,976
2013,Jul-Dec,Traffic,First Nations people,Road user,"Car driver, passenger or unknown position",401,2154
2013,Jul-Dec,Traffic,First Nations people,Road user,Motorcyclist,141,762
2013,Jul-Dec,Traffic,First Nations people,Road user,Pedal cyclist,81,171
2013,Jul-Dec,Traffic,First Nations people,Road user,Pedestrian,76,697
2013,Jul-Dec,Traffic,First Nations people,Road user,"Heavy transport driver, passenger or unknown position",10,29
2013,Jul-Dec,Traffic,First Nations people,Road user,Pick-up truck or van occupant,n.p.,n.p.
2013,Jul-Dec,Traffic,First Nations people,Road user,Bus occupant,n.p.,n.p.
2013,Jul-Dec,Traffic,First Nations people,Road user,Other or unknown,12,62
2013,Jul-Dec,Traffic,Non-Indigenous,Road user,"Car driver, passenger or unknown position",7944,29950
2013,Jul-Dec,Traffic,Non-Indigenous,Road user,Motorcyclist,3962,17868
2013,Jul-Dec,Traffic,Non-Indigenous,Road user,Pedal cyclist,2965,7929
2013,Jul-Dec,Traffic,Non-Indigenous,Road user,Pedestrian,1239,8720
